# SPDX-FileCopyrightText: 虎码官方（虎码输入法官方版）作者与贡献者；2026 明雅流风 <crrvx@outlook.com>
# SPDX-License-Identifier: LicenseRef-HuMa-Official
#
# 追加码表：虎码官方版单字表里主表没有的 (字, 码)。格式与主表一致：每行 "<text>\t<code>"，
# 同码内的行序即 rank。内核把本表拼在主表之后 ⇒ 主表 rank 逐位不变（简码仍归主表），
# 本表只在既有码上垫后或引入新码；删除本文件即完全回滚。
#
# 源：虎码官方版 publish/rime/tiger.dict.yaml（version 2026.08.15，sha256 ca172d4e55006bec389b6e3876bb08d4db1e1d1ae49a64f5d9d2c7d8c5e3abe5）
# 生成：HUMA_DICT=<官方单字表路径> python3 tools/generators/merge_huma_codes.py
# 本表 102332 行；同码内按官方权重降序；授权口径见 LICENSES/LicenseRef-HuMa-Official.txt。

𨷾	aaaa
𬻄	aaad
𭅫	aaad
𰀰	aaae
𠃡	aaai
𡬞	aaak
𨵯	aaam
𨷮	aaam
𰅯	aaan
舙	aaas
𦧵	aaas
熭	aabc
𢑹	aabc
䍊	aabi
𤶀	aabi
𩲻	aabi
𣊄	aabo
𧔵	aac
𧔵	aacc
𮤐	aacj
耓	aad
閅	aad
𮤫	aad
𰤲	aad
𫪙	aadk
𱱙	aadm
𠃏	aae
𠤬	aae
𤖨	aae
𣓵	aaem
𤷲	aaem
𤺛	aaem
𳈅	aaeq
𩲗	aaf
𪔥	aafc
𮍷	aafd
𫿆	aafh
𠀌	aafi
𣶒	aafi
𨚑	aaft
𨓯	aafu
𡵽	aafv
瘣	aag
𤗧	aag
𰁈	aagb
𲏊	aagf
𤕿	aagg
𤷨	aagg
𤶜	aags
𨳞	aagt
𲈸	aagt
𢜎	aah
𫤵	aahh
𲱚	aahi
𪬇	aaht
𢜎	aahx
𤺯	aahx
㐉	aai
𠃐	aai
𤴥	aai
𲏕	aai
䦮	aaio
𫅽	aaio
𤷰	aaiu
𲸵	aaiu
𲏒	aaiy
𬏺	aaj
𬏺	aajs
𤸚	aak
𤸲	aakc
𪺣	aakc
𤸚	aakm
𤗓	aakt
𩳆	aal
𬻅	aal
𰿝	aal
𲱗	aal
𪙬	aalc
闁	aam
𤷱	aam
𱱊	aam
𲈨	aam
𧯽	aamz
𠬫	aan
𨶏	aanj
𨸊	aanj
𠬫	aanr
癎	aao
耫	aaob
𤖓	aaob
𤗮	aaob
𤹠	aaob
𱭜	aaob
𱻴	aaob
𳈇	aaob
𣍈	aaoh
癎	aaor
𰣯	aaor
𤖏	aaos
㸞	aap
𤕰	aap
𨳭	aap
𨴒	aapd
𤴴	aape
㾲	aaph
𤺚	aapi
𤸞	aapl
䦬	aapm
𩴅	aapm
𤸪	aapu
闞	aaqh
𤺍	aaqh
